Unnamed: 0;type;subtype;bedroomCount;bathroomCount;province;locality;postCode;habitableSurface;buildingCondition;buildingConstructionYear;facedeCount;floodZoneType;heatingType;kitchenType;hasLivingRoom;toiletCount;hasTerrace;epcScore;price
0;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;100.0;GOOD;2004.0;1.0;NON_FLOOD_ZONE;GAS;SEMI_EQUIPPED;TRUE;1.0;TRUE;C;399000.0
1;HOUSE;HOUSE;4.0;2.0;Brussels;Etterbeek;1040;270.0;TO_BE_DONE_UP;1910.0;2.0;NON_FLOOD_ZONE;FUELOIL;INSTALLED;TRUE;3.0;TRUE;E;895000.0
2;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;87.0;AS_NEW;1970.0;2.0;;FUELOIL;HYPER_EQUIPPED;TRUE;1.0;TRUE;F;465000.0
3;APARTMENT;APARTMENT;2.0;2.0;Brussels;Bruxelles;1040;104.0;AS_NEW;2018.0;;RECOGNIZED_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;2.0;TRUE;B;590000.0
4;APARTMENT;FLAT_STUDIO;1.0;1.0;Brussels;Etterbeek;1040;71.0;AS_NEW;1906.0;2.0;NON_FLOOD_ZONE;GAS;INSTALLED;;1.0;;E;289000.0
5;APARTMENT;APARTMENT;2.0;1.0;Brussels;ETTERBEEK;1040;90.0;TO_BE_DONE_UP;1958.0;2.0;;GAS;INSTALLED;TRUE;1.0;TRUE;D;375000.0
6;APARTMENT;DUPLEX;3.0;2.0;Brussels;Etterbeek;1040;220.0;JUST_RENOVATED;2023.0;2.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;;4.0;TRUE;D;950000.0
7;APARTMENT;DUPLEX;3.0;2.0;Brussels;Etterbeek;1040;220.0;JUST_RENOVATED;2023.0;2.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;;4.0;TRUE;D;950000.0
8;APARTMENT;DUPLEX;2.0;1.0;Brussels;Etterbeek;1040;187.0;AS_NEW;2023.0;;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;;2.0;TRUE;C;795000.0
9;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;93.0;TO_BE_DONE_UP;1947.0;2.0;NON_FLOOD_ZONE;FUELOIL;;TRUE;1.0;TRUE;F;297000.0
10;APARTMENT;APARTMENT;2.0;1.0;Brussels;ETTERBEEK;1040;120.0;GOOD;1932.0;2.0;;GAS;INSTALLED;TRUE;1.0;TRUE;G;435000.0
11;APARTMENT;APARTMENT;3.0;1.0;Brussels;Etterbeek;1040;119.0;TO_RENOVATE;1944.0;2.0;NON_FLOOD_ZONE;GAS;NOT_INSTALLED;TRUE;1.0;TRUE;E;370000.0
12;APARTMENT;PENTHOUSE;2.0;1.0;Brussels;Etterbeek;1040;137.0;AS_NEW;2024.0;2.0;NON_FLOOD_ZONE;;HYPER_EQUIPPED;TRUE;1.0;TRUE;B;735000.0
14;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;110.0;TO_BE_DONE_UP;1946.0;2.0;;FUELOIL;INSTALLED;TRUE;1.0;TRUE;E;360000.0
15;APARTMENT;APARTMENT;3.0;1.0;Brussels;Etterbeek;1040;100.0;GOOD;2014.0;2.0;;GAS;INSTALLED;;1.0;TRUE;C;449000.0
16;APARTMENT;PENTHOUSE;3.0;1.0;Brussels;Etterbeek;1040;198.0;AS_NEW;1912.0;3.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;3.0;TRUE;B;995000.0
19;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;61.0;AS_NEW;2015.0;2.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;;1.0;TRUE;C;329000.0
